Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary
10/5/1920,,"Valencia, Spain",39.4738338,-0.3756348,Latecoere Airlines,,,Breguet 14,F-ALTA,20,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.
10/15/1920,,"Batavia, Illinois",41.8500284,-88.3125738,US Aerial Mail Service,,,De Havilland DH-4,76,,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
11/7/1920,,"Tie Siding, Wyoming",41.0802621,-105.5074905,US Aerial Mail Service,,,De Havilland DH-4,,178,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.
12/14/1920,12:15,"London, England",51.5072178,-0.1275862,Handley Page Transport,,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
12/24/1920,,"Barcelona, Spain",41.3873974,2.168568,Aeropostale,,,Breguet 14,F-ALBO,57,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed.
2/3/1921,,"Mendotta, Minnisota",44.8871878,-93.1643869,US Aerial Mail Service,,,De Havilland DH-4,130,,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
2/9/1921,,"La Crosse, Wisconsin",43.8137751,-91.2519017,US Aerial Mail Service,,,Junkers F-13,301,,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
2/15/1921,,Off Gibraltar,36.140751,-5.353585,Aeropostale,,,Breguet 14,F-ALBA,,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
2/22/1921,,"Elko, Nevada",40.8436459,-115.7526187,US Aerial Mail Service,,,De Havilland DH-4,67,,1,0,1,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed ."
4/6/1921,,"Point Cook, Australia",-37.9002643,144.7535495,Military - Royal Australian Air Force,,,Avro 504,H3021,,2,0,0,2,0,0,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
4/21/1921,,"Mitchel Field, NY",40.7238895,-73.5984261,US Aerial Mail Service,,,De Havilland DH-4,160,,1,0,1,1,0,1,0,After taking off the aircraft stalled and crashed.
4/29/1921,,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,,De Havilland DH-4,196,,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
5/17/1921,,"Rock Springs, Wyoming",41.5874644,-109.2029043,US Aerial Mail Service,,,De Havilland DH-4 De Havilland DH-4,176,,1,0,1,1,0,1,0,Crashed while attempting to land.
8/14/1921,,"Toulouse, France",43.6048462,1.442848,Aeropostale,,,Breguet 14,F-ALBI,,2,NULL,NULL,2,NULL,NULL,0,
8/24/1921,17:40,"River Humber, England",53.7413645,-0.2668878,Military - Royal Airship Works,,,Royal Airship Works ZR-2 (airship),R-38,R-38,46,0,46,46,0,46,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
9/6/1921,,"Paris, France",48.8575475,2.3513765,Franco-Roumaine,,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5,4,1,5,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
12/5/1921,,"Near Murchinson River, Australia",-25.87480558,118.8421994,West Australian Airways,,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2,0,2,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
1/14/1922,,"Paris, France",48.8575475,2.3513765,Handley Page Transport,,,Handley Page O/10,G-EATN,HP-43,5,4,1,5,4,1,5,Crashed at Le Bourget field.
2/21/1922,,"Near Norfolk, Virginia",36.8507689,-76.2858726,Military - U.S. Army Air Service,,,Dirigible Roma (airship),,,45,NULL,NULL,34,NULL,NULL,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
3/22/1922,11:40,North Atlantic Ocean,35.746512,-39.462891,Aero Limited,,Miami - Bimini,Aeromarine Model 85 (flying boat),,,6,5,1,5,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
4/7/1922,13:15,"Grandvilliers, France",49.665342,1.939705,Daimler Airways / Grands Express Aeriens,,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
4/8/1922,,"Pao Ting Fou, China",38.8739599,115.46459,,,Test,NULL,,,17,0,17,17,0,17,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
6/3/1922,,"Off Folkestone, Kent, England",51.081397,1.169456,Cie des Messageries Aeriennes,,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3,2,1,3,2,1,0,Went down into the English Channel while en route.
7/4/1922,,"Fuhlsbuttel, Germany",53.6295551,9.9911535,,,Hamburg - Berlin,LVG C VI,,,3,2,1,2,1,1,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
7/16/1922,16:45,"Near Saverne, Lorraine, France",48.741963,7.361647,Compagnie Franco-Roumaine de Navigaation Aerienne,,Strasbourg - Paris,Potez 29,F-FREI,25,5,4,1,5,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
7/26/1922,,"Cadix, Spain",36.5210142,-6.2804565,Grands Express Aeriens,,,Breguet 14,F-ALVE,117,3,2,1,3,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
9/7/1922,,"Indianapolis, Indiana",39.76909,-86.158018,US Aerial Mail Service,,,De Havilland DH-4,227,,1,0,1,1,0,1,0,The plane stalled shortly after takeoff and crashed.
10/2/1922,,"Venice, Italy",45.440379,12.3159547,de Havilland Air Service,,Venice - London,de Havilland DH-9,G-EAYT,14,4,3,1,4,3,1,0,Shortly after taking off the plane crashed into the sea and sank.
10/25/1922,,"Larache, Morocco",35.1721577,-6.1445644,Grands Express Aeriens,,,Breguet 14,,,2,1,1,2,1,1,0,Crashed under unknown circumstances.
12/3/1922,,"Fez, Morocco",34.0181246,-5.0078451,Grands Express Aeriens,,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,1,0,1,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
1/10/1923,,"Ajaccio, France",41.919229,8.738635,Amee de l'Air,,,Lioré-et-Olivier H-13,F-AEIB,4,4,2,2,3,1,2,0,The plane crashed mid-air due to a structural failure of the tail.
1/17/1923,,"Barcelona, Spain",41.3873974,2.168568,Grands Express Aeriens,,,Breguet 14,F-ALJU,6083-130,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.
1/18/1923,,"Cheyenne, Wyoming",41.1347435,-104.8211901,US Aerial Mail Service,,,De Havilland DH-4,223,,1,0,1,1,0,1,0,Crashed during a mail flight.
2/26/1923,,"Meadville, Pennsylvania",41.6414438,41.6414438,US Aerial Mail Service,,,De Havilland DH-4,291,,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
5/14/1923,13:42,"Near Amiens, Picrdie, France",49.894067,2.295753,Grands Express Aeriens (Air Union),,Paris - London,Farman F-60 Goliath,F-AEBY,15,6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
8/27/1923,17:30,"East Mallling, United Kingdom",51.287435,0.440026,Air Union,,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,F-AECB,4,11,9,2,1,1,0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
8/27/1923,,"Bucharest, Romania",44.4267674,26.1025384,Campagnie France Roumaine,,,Blériot Spad 46,F-AEGN,28,2,1,1,2,1,1,0,Crashed while on approach to Bucharesst.
9/7/1923,,"Colton, Ohio",41.4645824,-83.9521687,US Aerial Mail Service,,,De Havilland DH-4,283,,1,0,1,1,0,1,0,Crashed during an emergency landing attempt.
9/14/1923,18:00,"Near Ivinghoe, Buckinghamshire, England",51.837421,-0.628359,Daimler Airways,,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,5,3,2,5,3,2,0,Crashed while attempting a forced landing after encountering heavy rain.
11/18/1923,,Russia,61.52401,105.318756,CCCP,,,Junkers F-13,D-257,,5,2,3,3,1,2,0,Crashed during a training flight.
12/6/1923,,"Castalia, Ohio",41.4000523,-82.8085204,US Aerial Mail Service,,,De Havilland DH-4,318,,1,0,1,1,0,1,0,Crashed under unknown circumstances.
12/23/1923,2:30,Over the Mediterranean Sea,34.5531284,18.0480105,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,,52,NULL,NULL,52,NULL,NULL,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
12/24/1923,,"Egbert, WY",41.1697041,-104.2568991,US Aerial Mail Service,,,De Havilland DH-4,315,,1,0,1,1,0,1,0,Crashed into a montain in poor weather conditions.
3/7/1924,,"Grampian, Pennsylvania",40.9658931,-78.6130821,US Aerial Mail Service,,,De Havilland DH-4,327,,1,0,1,1,0,1,0,Crashed during a snowstorm.
4/24/1924,,Over the English Channel,50.134664,-0.357056,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,2,1,3,2,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
6/8/1924,,"Barranquilla, Colombia",11.0041072,-74.8069813,SCADTA,,Barranquilla - Bogota,Junkers F-13,A16,684,5,3,2,5,3,2,0,Stalled after taking off and crashed into houses..
8/1/1924,,United States,38.7945952,-106.5348379,US Aerial Mail Service,,,De Havilland DH-4,297,,1,0,1,1,0,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
11/6/1924,,"Cabrerolles, France",43.545815,3.125343,Grands Express Aeriens,,,Breguet 14,F-AFBD,,1,0,1,1,0,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed."
12/21/1924,,"Goshen, Indiana",41.5891606,-85.8345639,US Aerial Mail Service,,,De Havilland DH-4,311,,1,0,1,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
12/24/1924,12:00,"Purley, England",51.339228,-0.119711,Imperial Airways,,London - Paris,de Havilland DH-34B,G-EBBX,36,8,7,1,8,7,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
3/22/1925,,"Near Tiflis, Georgia, USSR",41.6938026,44.8015168,Zakavia,,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5,3,2,5,3,2,0,Shortly after take off the plane went out of control and crashed in flames.
4/25/1925,,"Alicante, Spain",38.3457685,-0.4909444,Grands Express Aeriens,,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3,1,2,3,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
6/25/1925,,"Landrécies, France",50.125434,3.691623,KLM Royal Dutch Airlines,,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,4,3,1,4,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
6/26/1925,,"Alicante, Spain",38.3457685,-0.4909444,Grands Express Aeriens,,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,,2,0,2,2,0,2,0,While attempting to land the seaplane hit a lightning mast and crashed.
7/20/1925,,"Rosas, Spain",42.2639489,3.1795528,Lignes Aeriennes Latecoere,,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1,0,1,1,0,1,0,Crashed in unknown circumstance.
7/24/1925,,"Budapest, Hungary",47.497912,19.040235,CIDNA,,,Potez IX,,,1,0,1,1,0,1,0,Crashed while attempting to land 10 km from the airport
9/3/1925,5:30,"Caldwell, Ohio",39.7478508,-81.5165127,Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,,43,NULL,NULL,14,NULL,NULL,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
9/7/1925,,"Toul, France",48.678296,5.890159,CIDNA,,,Spad 33,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
10/1/1925,,"Mt. Nittany, Ohio",40.4172871,-82.907123,US Aerial Mail Service,,New York - San Francisco,De Havilland DH-4,385,,1,0,1,1,0,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
11/14/1925,,"Nouadhibou, Mauritania",20.9033868,-15.9699878,Lignes Aeriennes Latecoere,,,Breguet 14,F-AEGZ,168,1,0,1,1,0,1,0,The pilot suffered sunstroke lost control of the plane and crashed.
11/14/1925,,"Off Boulogne-sur-Mer, France",50.725231,1.613334,Air Union,,,Farman F-60 Goliath,F-AMFY,,2,NULL,NULL,2,NULL,NULL,0,
2/12/1926,,"Montpelier, Ohio",41.5844951,-84.6055076,US Aerial Mail Service,,,Curtiss Carrier Pigeon,602,,1,0,1,1,0,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
3/8/1926,,"Staaken, Germany",52.5325033,13.1415974,Deutche Lufthansa,,,Junkers F-13,D-290 D-290,665,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.
5/31/1926,,English Channel,50.134664,-0.357056,Air Union,,Paris - Cryodon,Breguet 14,F-ADAI,1908,1,0,1,1,0,1,0,The mail plane crashed into the English Channel and was never found.
7/3/1926,,"Rossaugpt, Czechoslovakia",,,Compagnie Internationale de Navigation Aérienne,,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,6,4,2,6,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
7/9/1926,9:30,"Wolvertem, Belgium",50.95088,4.30927,KLM Royal Dutch Airlines,,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,2,1,1,2,1,1,0,Crashed into the ground while descending in poor weather.
7/24/1926,,"Juist, Germany",53.681385,7.008163,Deutsche Lufthansa,,,Junkers F-13,D-272,660,5,4,1,5,4,1,0,Crashed under weather related.circumstances.
8/18/1926,,"Hurst, Kent, England",51.0928319,0.8392471,Air Union,,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,15,13,2,3,2,1,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
9/26/1926,,"New York, New York",40.7127753,-74.0059728,,,New York - Paris,Sikorsky S-25,,,5,4,1,2,2,0,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
10/2/1926,15:27,"Leigh, Kent, Unied Kingdom",51.198733,0.218376,Air Union,,Paris - London,Bleriot 155,F- AICQ,1,7,5,2,7,5,2,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
10/8/1926,,"Bueren, Germany",51.5503249,8.558524,Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4,3,1,4,3,1,0,Weather related.
10/21/1926,13:15,English Channel,50.134664,-0.357056,Imperial Airways,,Croydon - Paris,Handley Page W-10,G-EBMS,W10/3,12,10,2,0,0,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
